,retweet_count,favorite_count,followers_count,predict_class_label,Date_class
577,0,0,0.136,2,3
578,423,0,0.435,3,1
579,0,1,0.0364,4,4
580,110,0,0.435,1,2
581,9069,13405,43,2,0
582,58,171,1.43,4,1
583,47,0,0.435,3,3
584,0,1,0.136,4,3
585,0,8,1.43,2,1
586,0,1,1.43,2,3
587,64,0,0.0364,3,3
588,124,0,0.435,1,3
589,3435,0,0.435,1,2
590,234,1235,6.82,4,3
591,25,26,0.136,4,3
592,6150,25809,43,2,4
593,540,0,43,2,4
594,2,10,0.136,4,4
595,640,0,0.0364,3,3
596,0,15,0.0364,4,3
597,6973,7048,43,2,3
598,166,0,0.435,1,3
599,369,4835,6.82,2,1
600,1693,11980,43,2,4
601,536,0,0.435,1,2
602,1,0,0.0364,4,4
603,405,4157,43,2,3
604,19,63,1.43,2,2
605,7,0,0.136,4,3
606,14,30,0.136,4,4
607,14856,76155,43,2,4
608,2,30,0.136,2,4
609,12,0,0.435,2,0
610,108,369,1.43,4,2
611,113,0,1.43,2,3
612,41,180,6.82,4,3
613,2329,8864,6.82,4,0
614,19,52,0.136,2,4
615,2100,19706,43,4,0
616,78,484,6.82,2,3
617,6,0,0.136,2,0
618,5,0,1.43,3,1
619,162,0,0.136,2,4
620,3067,4701,43,2,0
621,1323,3250,43,1,0
622,32,388,6.82,2,3
623,31,0,0.435,3,2
624,301,1342,6.82,2,0
625,1303,0,0.435,1,2
626,9,0,1.43,3,1
627,1046,6870,43,2,4
628,0,0,1.43,2,0
629,0,2,0.0364,2,0
630,148,0,43,2,0
631,42,100,1.43,4,3
632,94,0,6.82,4,0
633,373,944,43,2,0
634,40524,80566,43,4,3
635,7,9,0.136,4,4
636,107,0,0.136,4,4
637,300,2158,43,2,3
638,113,0,0.435,4,3
639,422,1425,43,4,0
640,249,1166,6.82,2,0
641,6,0,1.43,2,0
642,34,0,1.43,1,3
643,539,0,1.43,4,3
644,140,0,0.435,1,2
645,37,0,1.43,1,1
646,565,0,6.82,4,0
647,10,18,0.136,3,3
648,10,0,1.43,2,2
649,1,2,0.136,3,3
650,214,459,43,4,4
651,9,0,0.435,1,3
652,4245,0,0.435,3,3
653,0,1,1.43,2,0
654,17,28,0.136,4,3
655,27,132,1.43,4,1
656,176,2174,43,2,3
657,8,0,1.43,4,2
658,24,0,0.0364,4,3
659,1,0,0.435,3,2
660,7,0,1.43,3,0
661,0,4,1.43,4,0
662,107,0,0.435,1,2
663,0,3,1.43,4,3
664,8,47,1.43,2,3
665,9,0,6.82,2,2
666,31,152,6.82,2,0
667,2829,10160,43,2,3
668,2115,4666,43,2,0
669,4830,7746,43,4,3
670,77,0,0.435,4,0
671,1371,0,0.435,4,1
672,4,0,0.435,4,3
673,16,106,6.82,2,2
674,724,0,0.0364,3,0
675,11,0,1.43,2,2
676,213,0,0.0364,4,3
677,17,28,0.136,3,4
678,21,0,0.136,4,3
679,2,4,0.0364,1,3
680,238,324,43,1,0
681,1353,9222,43,2,0
682,2732,3593,43,4,2
683,91,0,0.0364,4,0
684,0,9,0.0364,4,3
685,2272,0,0.0364,2,4
686,3,0,0.136,4,0
